PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I
100001,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable
100002,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Same (Volunteered),Very favorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
100003,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100004,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Remain the same,Better off,Somewhat unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Don't know,Somewhat favorable
100005,United States,landline,Satisfied, , ,Very bad,Improve a little,Somewhat bad,Improve a little,Worse off,Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable,Very favorable
100006,United States,landline,Satisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Don't know,Don't know,Don't know,Don't know,Somewhat unfavorable
100007,United States,landline,Satisfied, , ,Somewhat good,Improve a lot,Somewhat good,Improve a little,Better off,Very favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100008,United States,landline,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
100009,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a lot,Somewhat bad,Improve a lot,Don't know,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Don't know,Very favorable,Somewhat favorable,Somewhat favorable
100010,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Better off,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat favorable
100011,United States,landline,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Worse off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Don't know,Don't know,Don't know,Very favorable
100012,United States,landline,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Worse off,Very favorable,Very favorable,Don't know,Don't know,Very unfavorable,Very favorable,Very favorable,Very favorable,Somewhat unfavorable
100013,United States,landline,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Remain the same,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Don't know,Somewhat favorable
100014,United States,landline,Satisfied, , ,Somewhat good,Worsen a little,Somewhat good,Remain the same,Better off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable
100015,United States,landline,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Worse off,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Don't know,Somewhat unfavorable
