PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G
101703,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a lot,Worse off,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable,Very favorable,Very favorable
101704,South Korea, ,Satisfied, , ,Somewhat good,Improve a lot,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Don't know,Somewhat favorable,Very favorable
101705,South Korea, ,Satisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101706,South Korea, ,Satisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Don't know,Don't know,Very unfavorable,Don't know,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101707,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101708,South Korea, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Same (Volunteered),Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable
101709,South Korea, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101710,South Korea, ,Dissatisfied, , ,Somewhat good,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101711,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Very bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
101712,South Korea, ,Satisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable,Somewhat favorable
101713,South Korea, ,Dissatisfied, , ,Somewhat bad,Improve a little,Very bad,Don't know,Better off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
101714,South Korea, ,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable
