PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I
101003,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Improve a lot,Worse off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Somewhat favorable,Very unfavorable
101004,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Very bad,Worsen a lot,Worse off,Don't know,Don't know,Somewhat unfavorable,Don't know,Don't know,Somewhat unfavorable,Don't know,Somewhat favorable,Don't know
101005,Czech Republic, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Very favorable,Somewhat favorable,Don't know,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Don't know,Don't know
101006,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Remain the same,Better off,Very favorable,Very favorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable
101007,Czech Republic, ,Don't know, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Don't know,Don't know,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Don't know
101008,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Better off,Somewhat favorable,Somewhat favorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Don't know,Somewhat favorable,Somewhat favorable
101009,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable
101010,Czech Republic, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101011,Czech Republic, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable
101012,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Better off,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable
101013,Czech Republic, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Remain the same,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat favorable,Somewhat unfavorable
