PSRAID,COUNTRY,PHONETYPE,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L
118375,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118376,Lebanon, ,Dissatisfied, , ,Very bad,Improve a little,Somewhat good,Improve a little,Same (Volunteered),Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118377,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat good,Remain the same,Better off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118378,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Somewhat unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Don't know, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118379,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118380,Lebanon, ,Satisfied, , ,Somewhat bad,Improve a little,Somewhat good,Remain the same,Better off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118381,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a lot,Very bad,Worsen a lot,Worse off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118382,Lebanon, ,Dissatisfied, , ,Somewhat good,Improve a little,Somewhat good,Improve a little,Better off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118383,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Same (Volunteered),Very favorable,Very favorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Very favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118384,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118385,Lebanon, ,Dissatisfied, , ,Very bad,Don't know,Somewhat bad,Don't know,Worse off,Very unfavorable,Don't know,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118386,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Same (Volunteered),Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118387,Lebanon, ,Dissatisfied, , ,Very bad,Remain the same,Somewhat bad,Remain the same,Worse off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Somewhat favorable,Very unfavorable,Somewhat favorable, ,Very unfavorable,Don't know,Very favorable,Very unfavorable
118388,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118389,Lebanon, ,Dissatisfied, , ,Somewhat bad,Improve a little,Somewhat bad,Remain the same,Same (Volunteered),Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Somewhat favorable,Somewhat unfavorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118390,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat unfavorable,Very favorable,Very unfavorable
118391,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Remain the same,Better off,Very unfavorable,Very unfavorable,Very favorable,Very favorable,Very favorable,Very unfavorable,Somewhat unfavorable, ,Very unfavorable,Very favorable,Very favorable,Very unfavorable
118392,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Very unfavorable,Somewhat favorable,Very favorable,Very favorable,Very unfavorable,Very unfavorable, ,Very unfavorable,Somewhat favorable,Very favorable,Very unfavorable
118393,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat bad,Remain the same,Worse off,Somewhat favorable,Very favorable,Very favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Very favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118394,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Somewhat good,Worsen a little,Worse off,Somewhat favorable,Somewhat favorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118395,Lebanon, ,Dissatisfied, , ,Somewhat bad,Worsen a little,Very bad,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Very unfavorable,Very unfavorable,Very unfavorable
118396,Lebanon, ,Dissatisfied, , ,Somewhat bad,Remain the same,Somewhat good,Worsen a little,Worse off,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Somewhat unfavorable
118397,Lebanon, ,Dissatisfied, , ,Very bad,Worsen a little,Somewhat bad,Worsen a little,Worse off,Very unfavorable,Somewhat unfavorable,Somewhat unfavorable,Very unfavorable,Very unfavorable,Somewhat favorable,Somewhat favorable, ,Very unfavorable,Somewhat favorable,Very unfavorable,Somewhat unfavorable
